ID,short_label,long_label
00088,"School of black and white striped thropical fish","Big school of black and white striped thropical fish floating close to coral reef"
00113,"Big school of fish close to water surface","Big school of various type of fish close to the water surface. In the middle there seem to be a shark or tuna."
00397,"pink coral reef similar to desert rose crystal","coral reef covered in light pink colored coral which resembles the desert rose mineral."
00500,"coral looking like desert rose mineral","coral looking very similar to famous desert rose mineral/crystal"
00612,"round boulder next to wine grapes looking coral","round boulders on the left side of the picture one is fully visible second is only half visible. In the right side there are corals of green color looking similar to bunch of green grapes."
00637,"electric cabels connected to black structure","some kind of diving gear of black color with two black electric cabels visible. The structure is in the left part of the picture."
00839,"Underwater plants with big leafs on stone","Underwater plants with big green leafs growing on the rock slope."
01071,"boulders on the sea bottom and light purple coral","Brown boulders on the sea bottom and coral of light purple color in the middle of the picture. The coral is shaped similar to stalagmite"
01320,"Coral with yellow fingers and 3 white corals looking like carpets","Multiple corals, in the left part of the picture there is a coral with yellow fingers, on the right side there are white corals looking similar to circular fluffy carpets."
01326,"two divers with rock between them","two scuba divers in black one in tigh pants and blue fins wearing gas tank. There is a big boulder in distnace between them."
01357,"coral of polypore fungus shape on sand","Coral of round shape similarly looking to polypore fungus. The colral is on upper part of the picture. There is sand around and in the right bottom corner there is other type of coral."
01397,"fish swimming over sand which is next to the coral reef","White sand with small fish floating above it. Right next to it there is a coral reef with corals looking similar to broccoli."
01513,"diver with yellow t-shirt, gas tank and blue fins","Back view of scuba diver wearing bright yellow t-shirt, blue fins and grey gas tank. There are small bubbles rising over him."
01571,"multiple blue and black colored fish","6 tropical looking fish with black head and tail and light blue body. They are close to rock covered sea bottom. There is a coral close to them."
01587,"orange color","orange color with some stones lightly visible"
01840,"Bottom of the underwater ravine","View from the bottom of the underwater ravine. In the middle there is the water surface and sun shinig visible. It is surrounded by stone walls."
01886,"Thropical fish of various color and type, stones on the back","Three types of small thropical fish in the centre of the picture, two yellow in the middle to the right there is one white with black stripes and yellow tail and to the left there are two orange fish. On the background there is stone reef"
02042,"picture with pink/orange color and blue color","Picture of reef which takes 3/4 of the picture, it has cross of pink and orange color, on the right part there is water which is light blue. In the water there is fish."
02243,"moray eel head sticking out of cavity","Moray eel head sticking from small hole between two rocks, the moray eel is dark with lot of small white spots"
02326,"three scuba divers in full gear","three scuba divers with fins and gas tanks. Two are fully visible the one in the middle has yellow fins, there are bubbles rising above both of them. There is also one diver which is closest to the camera but there is only bottom part of his body. He has white fins and grey tank and no bubbles are visible above him."
02332,"Human hand grasping for crab shell","Human hand grasping for crab shell. The hand is in left bottom corner."
02334,"bubble gum looking corals and part of crab","four white bubble gum looking corals and something with blue and beige color looking similar to crab"
02399,"Single yellow fish next to a coral reef","Single yellow thropical fish next to a coral reef. There is a clear blue water in the top right corner."
02412,"Big boulder covered in corals","Big rock sitting on a sea bottom covered with smaller rocks. THe big rock is covered with various types of corals and plants. There is also some clear water visible around the rock."
02638,"bubbles rising in fron of a big rock","Two columns of air bubbles rising to the surface. There is a big rock covered in corals on the back. In the top left corner there are some fish."
02750,"mussel laying on sand","mussel of brown and white color laying on sand"
02911,"Head of whale shark","CLose picture of head of whale shark. The head is covered with white spots. Its mouth is visible."
02984,"light blue with bubbles rising","light blue water with dark spot in the middle and air bubbles rising from bottom to the top"
03140,"Scuba diver with yellow tank to the left of coral reef","Girl scuba with yellow gas tank and swimsuit from the behind in top left corner  swimming next to the coral reef wich is to her right."
03170,"process of taking picture underwater","process of taking a picture underwqter with underwater camera with flah. The objective of the camere has red and white inside. The camera is in top left corner"
03202,"reef with small white fish with orange fins","Thropical fish with white body and orange fins swimming close to a reef with big boulder. There is sun shining through in left top corner."
03212,"Sun shining over dark underwater hill","Rock hill which is dark cause on the top of the picture there are very bright sun rays  shinig through water level"
03231,"coral reef meadow, scuba diver in the back","Flat looking Coral reef with various types of corals. There is a sligh resembelance to meadow made from corals. In the distance there is a scuba diver."
03259,"lot of circular carpet corals","flat coral reef covered in carpet shaped flat circular corals"
03365,"two divers close to an underwater slope","two divers one in top left corner one in bottom right corner. They are close to a diagonal rock slope"
03410,"Scuba diver on a blue background","Scuba diver with a grey gas tank with bubbles above him. He is in left bottom corner and his feet are not visible. On the background there is blue color."
03451,"POV of divers","POV of diver with his mate diver. There are many small bubbles and some kind of rope."
03542,"blue color with sharks in distnace","dark blue water with two white sharks swimming in a distance"
03836,"black scuba diver fins and dark blue color","black scuba diver fins in the left edge of the picture. The restof the picture is just dark blue water."
04037,"coral field in sunset orange","field of corals on a sea bed colored in sunset orange color."
04084,"clear water with bubbles rising to the surface","Clear water with shade of red on the bottom part. There are many bubbles rising to the surface on the left side of the picture"
04279,"blue color with white spots","blue color water with white spots"
04296,"Sand bottom with plant covered rocks scattered over it","Sand sea bottom with white sand but it seems blue under the water. There are smaller rocks covered in sea weed scattered over it."
04328,"underwater burdock leafs","sea bottom with big leafs similar to burdock leafs"
04379,"Two rays swimming close to each other","Two rays from the side swimming close to each other. Bellow them there is a sea bottom."
04496,"two divers above coral reef","two scuba divers in a full gear exploring a coral reef. They are in a top right corner of the picture"
04689,"coral reef looking similar to moss covered hill","coral reef looking similar to moss covered hill. In the upper part of the picture there are some rocks and clear blue water."
04725,"coral reef with many different colored corals","coral reef covered in various types of corals in various colors. in the left part there is corals less part."
04839,"Bright red and white colored coral reef","Coral reef in right part of the picture. The coral reef has bright red and white color. In the top left corner there is clear blue color with fish in the distance."
04850,"Coral field with two divers over it in distance","Coral field with orange and green corals. There is a sandy spot between them and int the distance there are two scuba divers with bubbles over them . Diver on the right has bright yellow fins"
04859,"coral field with brown and bright red corals","sloped coral field with most of the corals of sand color but there are corals of bright red/orange color in left bottom corner."
04875,"overhang of corals above sandy spot","corals hanging above spot of sand with orange stone in the middle. The sand spot is in the bottom right corner. beige anemone in the left"
05097,"Clear blue water and sandy sea bottom","Clear blue water in the top half of the picture. In the bottom part of the picture there is a sandy sea bottom with visible rocks in the left part."
05263,"oblong rock above sandy sea bottom","oblong rock wall above slope of sand, above the rock there is a clear blue water."
05384,"Dark blue color","Dark blue color with little lighter spot in the left part"
05535,"white and orange squid","white and orange squid with sand and small rocks on the background."
05610,"light from flashligh pointing at rock","light from flashligh pointing at rock. The light spot is circular and in the middle of the picture. there are some under water plants on the rock."
05630,"Bright spot with light from flash light under water","Dark photo of stone covered in corals. In the middle there is a bright pot where the light from the flash light falls."
05647,"underwater flashligh shining on rocks","Scuba diver with blue gloves holding flashlight in top left corner shining on rocks bottom under him"
05716,"School of yellow fish floating above cloud shaped coral","School of yellow thropical fish floating above coral reef. In the middle there is a coral looking like cloud."
05732,"School of white and yellow fish next to wall","school of white fish with yellow tail fins, they are swimming close to object resembling wall."
05964,"smooth corals and some flat fish with tail","Flat fish with short tail surrounded with white and yellow smooth loking corals"
06001,"Scuba diver in black suit touching sea bottom","Scuba diver wearing black suit and gas tank in top left corner. The diver is touching or collecting something from sea bottom."
06041,"scuba diver with one blue and one yellow fin","scuba diver in the top left corner with gas tank and one yellow fin and one blue fin. To the right there are rocks and blue and yellow fish."
06097,"water surface shot under view","Surface of water from under. There are vidible small waves and in top left corner the water is little darker. There seem to be small fish close to surface."
06137,"underwater turtle","underwater turtle hiding under a rock"
06425,"white small oblog fish on sand","Small white oblog fish on the sand. The fish has black spot on the tail fin. The body of the fish is covered in dark and white pattern. Background is covered with sand and there are some death plants floating on the sand on the right side of the picture"
06430,"Diver picture from back above sand field","Picture of diver with yellow fins and gas tank from the back. He is floating above sea bottom covered with sand and some kind of sea weed/plants."
06723,"big beige anemone","big beige anemone with small fish swimming through its hair"
06754,"top view of ear shaped coral","top view of coral which reminds ear with it's shape. There are three coral structures on the picture.They have orange edge and color changes to brow-ish closer to center."
06792,"Sea bottom covered in corals and two spots of sand","Sea bottom covered in multiple types of corals, in left middle part of the picture there are two sand spots between the corals. In the middle there are two small black fish"
06922,"reef of coral looking like mushrooms","reef of corals with smooth surface resembling lot of mushrooms or brain."
07019,"corals looking like scoops of ice cream","coral reef with corals looking similar to scoops of ice cream. On the backgrounf there seems to be more rocks and less corals."
07124,"White sea anemone on the bottom","White sea anemone on the bottom of the picture, there is apink fish in it. Above it there is ice cream shaped coral"
07163,"sea urchin next to flower like corals","sea urchin to the left of two flower like corals. In the rifht top corner there is white and yelow striped thropical fish."
07171,"Boulder with tangled rope stuck to it","Boulder in the middle of the picture covered in corals with tangled jute rope stuck to it"
07204,"some organisms with cable like body","some organisms with cable like body in arching positions"
07233,"Vulcano enterance shaped coral","Vulcano enterance shaped coral next to the tree mushroom shaped coral. Above there is a school of small fish and on the left there is a rock"
07251,"under water grass on sand","under water plants looking like grass surrounded by sand. In the bottom left corner there is a big sea urchin."
07282,"Coral looking like yellow bush","Coral looking like yellow bush surrouned by other corals and sand"
07400,"smooth skull with white corals around","smooth skull shaped object surrounded by corals of beige and white corals looking like fungus. In bottom right corner there is brain shaped coral and yellow and purple spot."
07520,"Block like stones in turquoise color","Stones shaped and placed like bulding blocks. The whole picture has turquoise color."
07960,"circular object connected to rope covered with corals","Circular object tied to rope which is covered in some sea plants/corals. The rope is in vertical position in the centre of the picture. There is only ligh blue color elsewhere."
08054,"big boulders and small oblog fish","big boulders under water with small thin oblog shaped fish of white color floating around it."
08149,"Small shark on a sea bottom","Top view of a small shark on a sea bottom covered in small stones."
08203,"Dolphin swimming with small bubbles around him","Close view of dolphin with small bubbles around him. The whole body of the dolphin doesn't fit the picture"
08274,"under water shipwreck","Structure underwater which doesnt look natural and resembles shipwreck covered in  corals. It looks like ship broken in half and pillars are sticking out of it."
08310,"Diver swimming next to underwater wall","Scuba diver wearing full gear with yellow fins swimming next  to the underwater stone wall which is to his left"
08511,"white corals close to underwater ravine","white and yellow-ish corals close to the dark under water ravine which is above the corals on the picture. There are some yellow fish swimming close to the ravine enterance."
08735,"Yellow fins and calfs in underwater cave","Person with yellow fins swimming in underwater cave. Only fins and legs of the person are visible and it is a picture from behind. There is like rock column covered in sea weed that seems to be holding the cave"
08765,"Diver with yellow fins swiming through underwater cave","Scuba diver with yellow fins swimming through underwater cave enterance. on the roof there are some sea weeds and on the ground there is sand. The diver is visible from his behind so only his legs and fins are visible"
08768,"small fish close to scuba diver's yellow fins","Fish swimming close to left leg of a scuba diver in full gear with gas tank and yellow fins. Above the scuba diver is overhang with plant hanging from it."
08802,"brain placed in a rock with thropical fish above it","Big rock covered in plants  and corals of various shapes and colors. There is a coral shaped like human brain on top of it and above it is a fish with yellow tail fin."
08831,"Underwater forrest","Underwater cave looking similar to underwater forrest. There are sea weeds which looks like tree trunks."
08999,"bubbles rising from diver with gastank","Scuba diver with yellow gastank on his back and full diving gear. He is on right side of the picture and only part of him is visible. There are bubbles rising above him."
09071,"white branching coral structure","white branching corals structure on the left, red bright spots on the right"
09108,"coral reef and blue color with small fish","coral reef on the left side. Right side of the picture is water which is one shade of blue. In the water there are small white spots which are probably fish."
09226,"Old tire covered with brigh orange and yellow plants","old tire covered in multiple types of bright colored plants similar to moss. There are also rocks covered with orange and green."
09291,"sandy sea bottom with big sea plants","sandy sea bottom with big sea plants which are few meters apart. Above the sea bottom there is clear blue water and some fish in the distance."
09408,"Complete dark only ray from flashligh visible","Complete dark picture only ray of light from flashlight pointing on sandy ground is visible."